c,id,time,evid,amt,cmt,ss,ii,addl,rate,gut1,gut2,cent,cp,dv,mdv
.,1,0,0,0,2,0,0,0,0,0,0,0,0,.,0
.,1,0,1,10,1,0,0,0,0,5,0,0,0,.,1
.,1,0,1,10,2,0,0,0,0,5,0,0,0,.,1
.,1,1,0,0,2,0,0,0,0,2.24664482058463,0,2.602905450965912,0.05205810901931823,.,0
.,1,2,0,0,2,0,0,0,0,1.009482589973128,0,3.524767057619183,0.07049534115238366,.,0
.,1,3,0,0,2,0,0,0,0,0.453589766448031,0,3.71485867081207,0.07429717341624141,.,0
.,1,4,0,0,2,0,0,0,0,0.2038110198929069,0,3.597473383183192,0.07194946766366384,.,0
.,1,5,0,0,2,0,0,0,0,0.0915781944446615,5,3.361228690421152,0.06722457380842303,.,0
.,1,6,0,0,2,0,0,0,0,0.0411487352457084,2.744058180469882,5.225194057622847,0.1045038811524569,.,0
.,1,7,0,0,2,0,0,0,0,0.01848931858237015,1.505971059558484,5.921718904568928,0.1184343780913786,.,0
.,1,8,0,0,2,0,0,0,0,0.00830778636600216,0.8264944411074858,6.0112154624415846,0.1202243092488317,.,0
.,1,9,0,0,2,0,0,0,0,0.00373292904205302,0.4535897664475647,5.796601550375102,0.115932031007502,.,0
.,1,10,0,0,2,0,0,0,0,0.001677313139637768,0.2489353418400058,5.440712854030843,0.1088142570806169,.,0
.,1,11,0,0,2,0,0,0,0,7.536653755879832e-4,0.1366186122373992,5.030186628296301,0.100603732565926,.,0
.,1,12,0,0,2,0,0,0,0,3.386436825342919e-4,0.07497788410327406,4.610261122828587,0.09220522245657174,.,0
.,1,13,0,0,2,0,0,0,0,1.52162415091659e-4,0.04114873524581362,4.203745934128398,0.08407491868256795,.,0
.,1,14,0,0,2,0,0,0,0,6.837098035783339e-5,0.02258290471358375,3.821365842761847,0.07642731685523695,.,0
.,1,15,0,0,2,0,0,0,0,3.072106178264332e-5,0.0123937608836872,3.46739851074585,0.06934797021491701,.,0
.,1,16,0,0,2,0,0,0,0,1.380386286879411e-5,0.006801840187973035,3.142742906660572,0.06285485813321144,.,0
.,1,17,0,0,2,0,0,0,0,6.202475404224212e-6,0.003732929042032664,2.846584519809413,0.05693169039618826,.,0
.,1,18,0,0,2,0,0,0,0,2.78695184886568e-6,0.0020486748950024,2.577294238794208,0.05154588477588417,.,0
.,1,19,0,0,2,0,0,0,0,1.252258185765971e-6,0.001124336620843658,2.332908972681792,0.04665817945363585,.,0
.,1,20,0,0,2,0,0,0,0,5.626758698424265e-7,6.170490201071854e-4,2.11138433464613,0.0422276866929226,.,0
.,1,21,0,0,2,0,0,0,0,2.528265636487178e-7,3.386436820281164e-4,1.910723465193348,0.03821446930386696,.,0
.,1,22,0,0,2,0,0,0,0,1.13602296302631e-7,1.858515929577e-4,1.729038897501308,0.03458077795002615,.,0
.,1,23,0,0,2,0,0,0,0,5.104480136216369e-8,1.019975166438581e-4,1.564578552388672,0.03129157104777344,.,0
.,1,24,0,0,2,0,0,0,0,2.293590740412372e-8,5.597742390217564e-5,1.415732820725608,0.02831465641451217,.,0
.,1,25,0,0,2,0,0,0,0,1.0305767341380471e-8,3.072106154804598e-5,1.281031957361522,0.02562063914723043,.,0
