id,time,amt,cmt,dv,C,ID,evid,ss,ii,addl,rate,LAGT,MODE,DUR2,RAT2,BIOAV,DV,CP,mdv
1,0,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,0,1
1,0,100,2,0,.,2,1,0,12,3,10,0,0,2,10,1,.,0,1
1,1,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,327.839,1
1,2,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,644.93015,1
1,3,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,951.62582,1
1,4,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,1248.2668,1
1,5,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,1535.1828,1
1,6,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,1812.6925,1
1,7,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,2081.1043,1
1,8,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,2340.7166,1
1,9,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,2591.8178,1
1,10,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,2834.6869,1
1,11,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,2741.7548,1
1,12,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,2651.8694,1
1,13,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,2892.7698,1
1,14,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3125.7725,1
1,15,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3351.1365,1
1,16,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3569.1121,1
1,17,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3779.9417,1
1,18,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3983.8595,1
1,19,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4181.092,1
1,20,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4371.8585,1
1,21,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4556.371,1
1,22,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4734.8343,1
1,23,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4579.608,1
1,24,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4429.4706,1
1,25,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4612.0943,1
1,26,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4788.7308,1
1,27,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4959.5766,1
1,28,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5124.8213,1
1,29,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5284.6487,1
1,30,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5439.2363,1
1,31,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5588.7559,1
1,32,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5733.3737,1
1,33,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5873.2503,1
1,34,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6008.5413,1
1,35,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5811.5579,1
1,36,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5621.0323,1
1,37,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5764.592,1
1,38,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5903.4452,1
1,39,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6037.7462,1
1,40,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6167.6443,1
1,41,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6293.2839,1
1,42,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6414.8045,1
1,43,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6532.3412,1
1,44,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6646.0246,1
1,45,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6755.981,1
1,46,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6862.3326,1
1,47,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6637.3585,1
1,48,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6419.76,1
1,49,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6209.2953,1
1,50,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,6005.7304,1
1,51,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5808.8391,1
1,52,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5618.4027,1
1,53,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5434.2096,1
1,54,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5256.055,1
1,55,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,5083.741,1
1,56,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4917.0761,1
1,57,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4755.8752,1
1,58,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4599.9591,1
1,59,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4449.1545,1
1,60,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4303.2938,1
1,61,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4162.2151,1
1,62,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,4025.7615,1
1,63,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3893.7813,1
1,64,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3766.128,1
1,65,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3642.6596,1
1,66,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3523.239,1
1,67,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3407.7335,1
1,68,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3296.0147,1
1,69,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3187.9585,1
1,70,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,3083.4448,1
1,71,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,2982.3574,1
1,72,0,2,0,.,2,0,0,0,0,0,0,0,2,10,1,.,2884.5841,1
