id,time,amt,cmt,dv,C,ID,evid,ss,ii,addl,rate,LAGT,MODE,DUR2,RAT2,BIOAV,DV,CP,mdv
1,0,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,0,1
1,0,100,2,0,.,7,1,1,6,3,10,0,0,2,10,1,.,16442.14,1
1,1,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16558.781,1
1,2,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16671.598,1
1,3,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16780.716,1
1,4,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16886.256,1
1,5,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16660.498,1
1,6,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16442.141,1
1,7,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16558.781,1
1,8,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16671.598,1
1,9,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16780.716,1
1,10,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16886.257,1
1,11,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16660.498,1
1,12,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16442.141,1
1,13,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16558.782,1
1,14,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16671.598,1
1,15,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16780.716,1
1,16,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16886.257,1
1,17,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16660.499,1
1,18,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16442.141,1
1,19,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16558.782,1
1,20,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16671.598,1
1,21,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16780.716,1
1,22,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16886.257,1
1,23,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16660.499,1
1,24,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16442.142,1
1,25,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16230.943,1
1,26,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,16026.668,1
1,27,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,15829.091,1
1,28,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,15637.99,1
1,29,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,15125.316,1
1,30,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,14629.449,1
1,31,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,14149.839,1
1,32,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,13685.952,1
1,33,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,13237.273,1
1,34,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,12803.304,1
1,35,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,12383.561,1
1,36,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,11977.58,1
1,37,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,11584.908,1
1,38,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,11205.11,1
1,39,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,10837.763,1
1,40,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,10482.458,1
1,41,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,10138.803,1
1,42,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,9806.4131,1
1,43,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,9484.9207,1
1,44,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,9173.968,1
1,45,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,8873.2095,1
1,46,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,8582.3111,1
1,47,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,8300.9495,1
1,48,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,8028.812,1
1,49,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,7765.5962,1
1,50,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,7511.0097,1
1,51,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,7264.7695,1
1,52,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,7026.602,1
1,53,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,6796.2426,1
1,54,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,6573.4353,1
1,55,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,6357.9325,1
1,56,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,6149.4946,1
1,57,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,5947.8902,1
1,58,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,5752.8952,1
1,59,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,5564.2928,1
1,60,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,5381.8736,1
1,61,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,5205.4348,1
1,62,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,5034.7804,1
1,63,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,4869.7206,1
1,64,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,4710.0722,1
1,65,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,4555.6577,1
1,66,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,4406.3054,1
1,67,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,4261.8496,1
1,68,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,4122.1295,1
1,69,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,3986.99,1
1,70,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,3856.281,1
1,71,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,3729.857,1
1,72,0,2,0,.,7,0,0,0,0,0,0,0,2,10,1,.,3607.5778,1
